file_name,pages,file_size_kb,has_text,word_count,character_count,status,error
cfpgs.pdf,2,29.97,True,2093,15302,Valid,
cgilsm(1).pdf,1,21.52,True,1021,7656,Valid,
cgilsm(2).pdf,1,21.52,True,1021,7656,Valid,
cgilsm.pdf,1,21.52,True,1021,7656,Valid,
chcdp.pdf,1,18.97,True,624,4902,Valid,
chief-minister-agriculture-and-food-processing-scheme.pdf,1,22.17,True,1058,8057,Valid,
chief-minister-sustainable-agriculture-irrigation-scheme.pdf,2,25.41,True,1600,11007,Valid,
chsipni.pdf,2,25.34,True,1341,10480,Valid,
cife-if.pdf,2,31.81,True,2783,18224,Valid,
cis-mesifa-cii copy.pdf,2,26.25,True,1670,12367,Valid,
cis-mesifa-cii.pdf,2,26.25,True,1670,12367,Valid,
cis5aciskr-mesifai copy.pdf,2,24.49,True,1325,10029,Valid,
cis5aciskr-mesifai.pdf,2,24.49,True,1325,10029,Valid,
cisitites-mesifai copy.pdf,2,24.95,True,1325,10270,Valid,
cisitites-mesifai.pdf,2,24.95,True,1325,10270,Valid,
cisphpes-mesifai copy.pdf,2,24.92,True,1338,10368,Valid,
cisphpes-mesifai.pdf,2,24.92,True,1338,10368,Valid,
ciss.pdf,2,26.55,True,1724,12008,Valid,
cisscstwe-mesifai copy.pdf,2,27.21,True,1646,12464,Valid,
cisscstwe-mesifai.pdf,2,27.21,True,1646,12464,Valid,
cissgd.pdf,2,25.31,True,1557,10907,Valid,
cistai-mesifai.pdf,2,24.7,True,1282,9967,Valid,
cklpr.pdf,1,22.07,True,916,7200,Valid,
clssmig copy.pdf,2,32.45,True,2699,18435,Valid,
clssmig.pdf,2,32.45,True,2699,18435,Valid,
cm-awards-karmashree.pdf,2,26.11,True,1582,11654,Valid,
cm-cab.pdf,2,26.6,True,1587,11779,Valid,
cm-sky.pdf,1,21.82,True,966,7356,Valid,
cm-swaniyojan-yojana.pdf,1,22.92,True,1095,8791,Valid,
cm-yky.pdf,1,21.33,True,924,6618,Valid,
cmaay.pdf,2,25.0,True,1369,10382,Valid,
cmacs(1).pdf,1,19.51,True,917,6834,Valid,
cmacs.pdf,1,19.51,True,917,6834,Valid,
cmagy.pdf,2,25.45,True,1460,10243,Valid,
cmamp.pdf,2,25.05,True,1278,9693,Valid,
cmat-ap.pdf,1,22.81,True,1130,8176,Valid,
cmat-sada.pdf,1,23.26,True,1212,8778,Valid,
cmat-spie.pdf,1,22.67,True,1196,8790,Valid,
cmcalss.pdf,2,28.27,True,1853,13523,Valid,
cmchis-tn.pdf,1,18.92,True,749,5757,Valid,
cmchis.pdf,2,24.51,True,1309,9778,Valid,
cmcsrs.pdf,2,25.45,True,1419,10587,Valid,
cmdes.pdf,1,19.37,True,796,5817,Valid,
cmdps-sikkim.pdf,1,19.96,True,770,5793,Valid,
cmegp.pdf,1,24.64,True,1007,7875,Valid,
cmenspy.pdf,1,19.91,True,828,5993,Valid,
cmfccs.pdf,1,20.02,True,793,5816,Valid,
cmfds.pdf,1,20.75,True,940,7040,Valid,
cmfm.pdf,1,23.88,True,1307,9273,Valid,
cmgcpsi.pdf,1,20.59,True,1001,7177,Valid,
cmgcpsii.pdf,1,20.37,True,920,6677,Valid,
cmhap.pdf,1,20.24,True,909,6358,Valid,
cmhisn.pdf,2,27.67,True,1783,12980,Valid,
cmkry.pdf,1,22.07,True,1207,8514,Valid,
cmksy.pdf,1,22.64,True,1059,8038,Valid,
cmkuy.pdf,1,20.88,True,1135,7970,Valid,
cmkvy(1).pdf,1,18.58,True,655,4983,Valid,
cmkvy.pdf,1,18.58,True,655,4983,Valid,
cmlby.pdf,1,21.09,True,1039,7520,Valid,
cmlh-prem.pdf,2,27.37,True,1824,12973,Valid,
cmmfbdsf-faascdmf copy.pdf,2,23.42,True,1268,9506,Valid,
cmmfbdsf-faascdmf.pdf,2,23.42,True,1268,9506,Valid,
cmmfi.pdf,2,28.61,True,1789,13444,Valid,
cmnsy.pdf,1,19.69,True,827,6242,Valid,
cmossm.pdf,2,25.1,True,1312,9601,Valid,
cmpsy.pdf,1,21.26,True,1080,7746,Valid,
cmpvy.pdf,1,21.03,True,965,7330,Valid,
cmsasps.pdf,1,20.39,True,885,6298,Valid,
cmsguy.pdf,1,22.41,True,1142,8142,Valid,
cmsrcis.pdf,2,24.89,True,1485,10222,Valid,
cmsrdf.pdf,1,21.19,True,990,7437,Valid,
cmst-acgtnp.pdf,2,25.65,True,1564,11253,Valid,
cmst-sfapinf.pdf,2,24.07,True,1384,10059,Valid,
cmst.pdf,1,20.54,True,836,6592,Valid,
cmstsswd.pdf,1,20.81,True,993,7493,Valid,
cmswca.pdf,1,22.08,True,1073,8026,Valid,
cmuccscs.pdf,2,26.12,True,1611,11395,Valid,
cmwrs.pdf,2,24.85,True,1351,9972,Valid,
cnkgs.pdf,1,20.74,True,970,7581,Valid,
cpfitp.pdf,1,23.51,True,1227,9120,Valid,
cpis.pdf,3,35.17,True,2883,19800,Valid,
cpy.pdf,2,27.45,True,1765,12918,Valid,
cras.pdf,2,24.52,True,1417,10264,Valid,
crs.pdf,2,29.02,True,2131,14916,Valid,
cs-tn.pdf,2,26.76,True,1600,11960,Valid,
csmsu.pdf,2,29.13,True,1867,13697,Valid,
css-nos-st.pdf,3,38.97,True,3295,23098,Valid,
css.pdf,2,23.63,True,1329,9781,Valid,
csspostmsossi.pdf,3,35.15,True,2838,20112,Valid,
